id	ipr	ann_inter	sp
GMRT_12974	IPR000719	Protein kinase domain	muris
GMRT_12974	IPR002110	Ankyrin repeat	muris
GMRT_12974	IPR020683	Ankyrin repeat-containing domain	muris
GMRT_12974	IPR011009	Protein kinase-like domain superfamily	muris
GMRT_12974	IPR036770	Ankyrin repeat-containing domain superfamily	muris
GMRT_12974	IPR017441	Protein kinase, ATP binding site	muris
GMRT_13685	IPR013907	Sds3-like	muris
GMRT_13013	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase	muris
GMRT_13013	IPR019012	RNA cap guanine-N2 methyltransferase	muris
GMRT_23004	IPR016181	Acyl-CoA N-acyltransferase	muris
GMRT_23004	IPR000182	GNAT domain	muris
GMRT_12964	IPR016181	Acyl-CoA N-acyltransferase	muris
GMRT_12964	IPR000182	GNAT domain	muris
GMRT_12729	IPR014752	Arrestin, C-terminal	muris
GMRT_12729	IPR001841	Zinc finger, RING-type	muris
GMRT_12729	IPR013083	Zinc finger, RING/FYVE/PHD-type	muris
GMRT_12729	IPR014756	Immunoglobulin E-set	muris
GMRT_15168	IPR029055	Nucleophile aminohydrolases, N-terminal	muris
GMRT_15168	IPR000426	Proteasome alpha-subunit, N-terminal domain	muris
GMRT_15168	IPR023332	Proteasome alpha-type subunit	muris
GMRT_15168	IPR001353	Proteasome, subunit alpha/beta	muris
GMRT_15168	IPR035144	Proteasome subunit alpha 1	muris
GMRT_10188	IPR008195	Ribosomal protein L34Ae	muris
GMRT_10188	IPR038562	Ribosomal protein L34Ae superfamily	muris
GMRT_15155	IPR017871	ABC transporter, conserved site	muris
GMRT_15155	IPR003593	AAA+ ATPase domain	muris
GL50803_17566	IPR011009	Protein kinase-like domain superfamily	G_intestinalis
GL50803_17566	IPR008271	Serine/threonine-protein kinase, active site	G_intestinalis
GL50803_17566	IPR028375	KA1 domain/Ssp2, C-terminal	G_intestinalis
GL50803_17566	IPR001772	Kinase associated domain 1 (KA1)	G_intestinalis
GL50803_17566	IPR000719	Protein kinase domain	G_intestinalis
GL50803_17566	IPR017441	Protein kinase, ATP binding site	G_intestinalis
GL50803_16805	IPR000403	Phosphatidylinositol 3-/4-kinase, catalytic domain	G_intestinalis
GL50803_16805	IPR003152	FATC domain	G_intestinalis
GL50803_16805	IPR015519	Serine/threonine-protein kinase ATM/Tel1	G_intestinalis
GL50803_16805	IPR036940	Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily	G_intestinalis
GL50803_16805	IPR011009	Protein kinase-like domain superfamily	G_intestinalis
GL50803_4156	IPR019808	Histidine triad, conserved site	G_intestinalis
GL50803_4156	IPR036265	HIT-like superfamily	G_intestinalis
GL50803_4156	IPR039384	HINT family	G_intestinalis
GL50803_4156	IPR001310	Histidine triad (HIT) protein	G_intestinalis
GL50803_4156	IPR011146	HIT-like domain	G_intestinalis
GL50803_6179	IPR001163	LSM domain, eukaryotic/archaea-type	G_intestinalis
GL50803_6179	IPR010920	LSM domain superfamily	G_intestinalis
GL50803_115239	IPR015760	Translation initiation factor IF- 2	G_intestinalis
GL50803_115239	IPR000795	Translational (tr)-type GTP-binding domain	G_intestinalis
GL50803_115239	IPR036925	Translation initiation factor IF-2, domain 3 superfamily	G_intestinalis
GL50803_115239	IPR005225	Small GTP-binding protein domain	G_intestinalis
GL50803_115239	IPR023115	Translation initiation factor IF- 2, domain 3	G_intestinalis
GL50803_115239	IPR027417	P-loop containing nucleoside triphosphate hydrolase	G_intestinalis
GL50803_115239	IPR004161	Translation elongation factor EFTu-like, domain 2	G_intestinalis
GL50803_115239	IPR009000	Translation protein, beta-barrel domain superfamily	G_intestinalis
SS50377_26929	IPR000504	RNA recognition motif domain	S_salmonicida
SS50377_26929	IPR012677	Nucleotide-binding alpha-beta plait domain superfamily	S_salmonicida
SS50377_26929	IPR035979	RNA-binding domain superfamily	S_salmonicida
SS50377_20853	IPR009057	Homeobox-like domain superfamily	S_salmonicida
SS50377_20853	IPR001005	SANT/Myb domain	S_salmonicida
SS50377_20853	IPR017877	Myb-like domain	S_salmonicida
SS50377_20853	IPR017930	Myb domain	S_salmonicida
SS50377_22416	IPR006212	Furin-like repeat	S_salmonicida
SS50377_22416	IPR009030	Growth factor receptor cysteine-rich domain superfamily	S_salmonicida
SS50377_23337	IPR016024	Armadillo-type fold	S_salmonicida
SS50377_23337	IPR011989	Armadillo-like helical	S_salmonicida
SS50377_26172	IPR001357	BRCT domain	S_salmonicida
SS50377_26172	IPR010613	Pescadillo	S_salmonicida
SS50377_26172	IPR036420	BRCT domain superfamily	S_salmonicida
SS50377_20940	IPR006802	Radial spokehead-like protein	S_salmonicida
SS50377_25532	IPR042510	Protein CIP2A	S_salmonicida
