Orthogroup	G_intestinalis_aa	G_muris_aa	S_salmonicida_aa
OG0004524	GL50803_14615		
OG0004525	GL50803_17023		
OG0004526	GL50803_8449		
OG0004527	GL50803_2572		
OG0004528	GL50803_16365		
OG0004529	GL50803_23655		
OG0004530	GL50803_60084		
OG0004531	GL50803_16300		
OG0004532	GL50803_4644		
OG0004533	GL50803_17051		
OG0004534	GL50803_27836		
OG0004535	GL50803_20315		
OG0004536	GL50803_13996		
OG0004537	GL50803_24555		
OG0004538	GL50803_88735		
OG0004539	GL50803_22855		
OG0004540	GL50803_8658		
OG0004541	GL50803_8654		
OG0004542	GL50803_8651		
OG0004543	GL50803_8650		
OG0004544	GL50803_16113		
OG0004545	GL50803_28703		
OG0004546	GL50803_14846		
OG0004547	GL50803_9051		
OG0004548	GL50803_7427		
OG0004549	GL50803_15847		
OG0004550	GL50803_13239		
OG0004551	GL50803_3647		
OG0004552	GL50803_6423		
OG0004553	GL50803_27852		
OG0004554	GL50803_6427		
OG0004555	GL50803_1657		
OG0004556	GL50803_8816		
OG0004557	GL50803_102034		
OG0004558	GL50803_8820		
OG0004559	GL50803_8821		
OG0004560	GL50803_1902		
OG0004561	GL50803_7103		
OG0004562	GL50803_14361		
OG0004563	GL50803_14362		
OG0004564	GL50803_7114		
OG0004565	GL50803_16550		
OG0004566	GL50803_13901		
OG0004567	GL50803_31391		
OG0004568	GL50803_60194		
OG0004569	GL50803_24471		
OG0004570	GL50803_6558		
OG0004571	GL50803_24400		
OG0004572	GL50803_28962		
OG0004573	GL50803_60210		
OG0004574	GL50803_9802		
OG0004575	GL50803_19509		
OG0004576	GL50803_16577		
OG0004577	GL50803_33807		
OG0004578	GL50803_14655		
OG0004579	GL50803_102461		
OG0004580	GL50803_3141		
OG0004581	GL50803_16357		
OG0004582	GL50803_13103		
OG0004583	GL50803_28477		
OG0004584	GL50803_8263		
OG0004585	GL50803_8428		
OG0004586	GL50803_8433		
OG0004587	GL50803_16950		
OG0004588	GL50803_137720		
OG0004589	GL50803_16949		
OG0004590	GL50803_5497		
OG0004591	GL50803_103807		
OG0004592	GL50803_15338		
OG0004593	GL50803_11113		
OG0004594	GL50803_15343		
OG0004595	GL50803_17117		
OG0004596	GL50803_14651		
OG0004597	GL50803_14649		
OG0004598	GL50803_14648		
OG0004599	GL50803_8148		
OG0004600	GL50803_14647		
OG0004601	GL50803_21133		
OG0004602	GL50803_16049		
OG0004603	GL50803_92760		
OG0004604	GL50803_4764		
OG0004605	GL50803_4767		
OG0004606	GL50803_8075		
OG0004607	GL50803_14627		
OG0004608	GL50803_33674		
OG0004609	GL50803_6920		
