Orthogroup	G_intestinalis_aa	G_muris_aa	S_salmonicida_aa
OG0000000			KAH0569412.1, KAH0569413.1, KAH0569429.1, KAH0569431.1, KAH0569468.1, KAH0569524.1, KAH0569539.1, KAH0569547.1, KAH0569550.1, KAH0569559.1, KAH0569565.1, KAH0569569.1, KAH0569573.1, KAH0569593.1, KAH0569599.1, KAH0569600.1, KAH0569601.1, KAH0569602.1, KAH0569603.1, KAH0569604.1, KAH0569605.1, KAH0569609.1, KAH0569610.1, KAH0569639.1, KAH0569640.1, KAH0569644.1, KAH0569645.1, KAH0569646.1, KAH0569656.1, KAH0569657.1, KAH0569676.1, KAH0569677.1, KAH0569678.1, KAH0569695.1, KAH0569696.1, KAH0569697.1, KAH0569698.1, KAH0569699.1, KAH0569700.1, KAH0569701.1, KAH0569702.1, KAH0569703.1, KAH0569704.1, KAH0569705.1, KAH0569706.1, KAH0569707.1, KAH0569711.1, KAH0569712.1, KAH0569713.1, KAH0569714.1, KAH0569715.1, KAH0569716.1, KAH0569717.1, KAH0569720.1, KAH0569721.1, KAH0569722.1, KAH0569725.1, KAH0569726.1, KAH0569729.1, KAH0569730.1, KAH0569764.1, KAH0569770.1, KAH0569911.1, KAH0569918.1, KAH0569940.1, KAH0570043.1, KAH0570184.1, KAH0570192.1, KAH0570193.1, KAH0570746.1, KAH0570789.1, KAH0570792.1, KAH0570801.1, KAH0570804.1, KAH0570839.1, KAH0570856.1, KAH0570875.1, KAH0570878.1, KAH0571581.1, KAH0571707.1, KAH0571715.1, KAH0571722.1, KAH0571727.1, KAH0571728.1, KAH0571736.1, KAH0571737.1, KAH0572019.1, KAH0572031.1, KAH0572114.1, KAH0572497.1, KAH0572508.1, KAH0572509.1, KAH0572510.1, KAH0572511.1, KAH0572512.1, KAH0572538.1, KAH0572540.1, KAH0572555.1, KAH0572557.1, KAH0572675.1, KAH0572695.1, KAH0572855.1, KAH0573029.1, KAH0573032.1, KAH0573044.1, KAH0573082.1, KAH0573083.1, KAH0573108.1, KAH0573110.1, KAH0573150.1, KAH0574264.1, KAH0574350.1, KAH0575021.1, KAH0575791.1, KAH0575802.1, KAH0575822.1, KAH0575884.1, KAH0575908.1, KAH0576023.1, KAH0576024.1, KAH0576042.1, KAH0576087.1, KAH0576119.1, KAH0576136.1, KAH0576137.1, KAH0576146.1, KAH0576157.1, KAH0576174.1, KAH0576183.1
OG0000001		TNJ26124.1, TNJ26135.1, TNJ26174.1, TNJ26188.1, TNJ26202.1, TNJ26212.1, TNJ26213.1, TNJ26243.1, TNJ26244.1, TNJ26398.1, TNJ26429.1, TNJ26430.1, TNJ26480.1, TNJ26493.1, TNJ26543.1, TNJ26547.1, TNJ26587.1, TNJ26590.1, TNJ26638.1, TNJ26690.1, TNJ26699.1, TNJ26735.1, TNJ26793.1, TNJ26903.1, TNJ26943.1, TNJ26986.1, TNJ26987.1, TNJ27021.1, TNJ27126.1, TNJ27145.1, TNJ27148.1, TNJ27193.1, TNJ27210.1, TNJ27214.1, TNJ27322.1, TNJ27384.1, TNJ27386.1, TNJ27413.1, TNJ27420.1, TNJ27432.1, TNJ27441.1, TNJ27565.1, TNJ27569.1, TNJ27625.1, TNJ27630.1, TNJ27652.1, TNJ27818.1, TNJ27820.1, TNJ27874.1, TNJ27929.1, TNJ27971.1, TNJ28023.1, TNJ28033.1, TNJ28188.1, TNJ28190.1, TNJ28252.1, TNJ28271.1, TNJ28299.1, TNJ28324.1, TNJ28350.1, TNJ28362.1, TNJ28497.1, TNJ28499.1, TNJ28546.1, TNJ28547.1, TNJ28603.1, TNJ28644.1, TNJ28647.1, TNJ28788.1, TNJ28875.1, TNJ28877.1, TNJ28952.1, TNJ28975.1, TNJ28976.1, TNJ29041.1, TNJ29151.1, TNJ29179.1, TNJ29201.1, TNJ29207.1, TNJ29244.1, TNJ29275.1, TNJ29362.1, TNJ29389.1, TNJ29413.1, TNJ29417.1, TNJ29579.1, TNJ29612.1, TNJ29711.1, TNJ29720.1, TNJ29764.1, TNJ29862.1, TNJ29906.1, TNJ29907.1, TNJ29953.1, TNJ30055.1, TNJ30088.1, TNJ30207.1, TNJ30317.1, TNJ30324.1, TNJ30473.1, TNJ30475.1, TNJ30634.1, TNJ30683.1, TNJ30750.1	
OG0000002		TNJ26102.1, TNJ26103.1, TNJ26104.1, TNJ26105.1, TNJ26106.1, TNJ26109.1, TNJ26112.1, TNJ26113.1, TNJ26123.1, TNJ26127.1, TNJ26128.1, TNJ26133.1, TNJ26134.1, TNJ26136.1, TNJ26140.1, TNJ26147.1, TNJ26149.1, TNJ26153.1, TNJ26159.1, TNJ26160.1, TNJ26161.1, TNJ26164.1, TNJ26169.1, TNJ26193.1, TNJ26198.1, TNJ26388.1, TNJ26389.1, TNJ26395.1, TNJ26396.1, TNJ26461.1, TNJ26465.1, TNJ26495.1, TNJ26640.1, TNJ26655.1, TNJ26792.1, TNJ26796.1, TNJ27020.1, TNJ27039.1, TNJ27040.1, TNJ27071.1, TNJ27072.1, TNJ27147.1, TNJ27377.1, TNJ27382.1, TNJ27383.1, TNJ27421.1, TNJ27562.1, TNJ27563.1, TNJ27627.1, TNJ27654.1, TNJ27655.1, TNJ27665.1, TNJ27841.1, TNJ27875.1, TNJ27876.1, TNJ27930.1, TNJ27958.1, TNJ27965.1, TNJ27966.1, TNJ27973.1, TNJ28012.1, TNJ28027.1, TNJ28028.1, TNJ28082.1, TNJ28163.1, TNJ28253.1, TNJ28254.1, TNJ28273.1, TNJ28274.1, TNJ28275.1, TNJ28325.1, TNJ28356.1, TNJ28357.1, TNJ28545.1, TNJ29017.1, TNJ29240.1, TNJ29241.1, TNJ29243.1, TNJ29292.1, TNJ29412.1, TNJ29480.1, TNJ29577.1, TNJ29578.1, TNJ29614.1, TNJ29857.1, TNJ29952.1, TNJ30047.1, TNJ30051.1, TNJ30054.1, TNJ30106.1, TNJ30406.1, TNJ30447.1, TNJ30529.1, TNJ30758.1	
OG0000003			KAH0569525.1, KAH0569545.1, KAH0569548.1, KAH0569562.1, KAH0569566.1, KAH0569925.1, KAH0569943.1, KAH0569959.1, KAH0573109.1, KAH0574262.1, KAH0575816.1, KAH0575817.1, KAH0575850.1, KAH0575854.1, KAH0575857.1, KAH0575892.1, KAH0575893.1, KAH0575894.1, KAH0575902.1, KAH0575904.1, KAH0575905.1, KAH0575914.1, KAH0575919.1, KAH0576006.1, KAH0576010.1, KAH0576016.1, KAH0576018.1, KAH0576028.1, KAH0576029.1, KAH0576030.1, KAH0576031.1, KAH0576035.1, KAH0576038.1, KAH0576039.1, KAH0576045.1, KAH0576067.1, KAH0576075.1, KAH0576076.1, KAH0576080.1, KAH0576084.1, KAH0576095.1, KAH0576103.1, KAH0576113.1, KAH0576117.1, KAH0576118.1, KAH0576122.1, KAH0576127.1, KAH0576143.1, KAH0576147.1, KAH0576148.1, KAH0576154.1, KAH0576160.1, KAH0576164.1, KAH0576172.1, KAH0576176.1, KAH0576177.1, KAH0576180.1, KAH0576203.1, KAH0576239.1
OG0000004		TNJ26110.1, TNJ26111.1, TNJ26141.1, TNJ26172.1, TNJ26492.1, TNJ26496.1, TNJ26544.1, TNJ26588.1, TNJ26639.1, TNJ26641.1, TNJ26695.1, TNJ26696.1, TNJ27075.1, TNJ27212.1, TNJ27213.1, TNJ27367.1, TNJ27368.1, TNJ27370.1, TNJ27372.1, TNJ27373.1, TNJ27375.1, TNJ27376.1, TNJ27674.1, TNJ27762.1, TNJ27946.1, TNJ28025.1, TNJ28026.1, TNJ28031.1, TNJ28141.1, TNJ28298.1, TNJ28323.1, TNJ28326.1, TNJ28645.1, TNJ28646.1, TNJ29080.1, TNJ29083.1, TNJ29084.1, TNJ29086.1, TNJ29236.1, TNJ29714.1, TNJ29715.1, TNJ29716.1, TNJ29717.1, TNJ29855.1, TNJ29951.1, TNJ30136.1, TNJ30320.1, TNJ30321.1, TNJ30472.1, TNJ30533.1, TNJ30534.1, TNJ30748.1, TNJ30749.1	KAH0572926.1
OG0000005			KAH0569277.1, KAH0569278.1, KAH0569281.1, KAH0569335.1, KAH0569369.1, KAH0569371.1, KAH0569372.1, KAH0569375.1, KAH0569376.1, KAH0569377.1, KAH0569378.1, KAH0569380.1, KAH0569402.1, KAH0569405.1, KAH0569406.1, KAH0569423.1, KAH0569750.1, KAH0569752.1, KAH0569767.1, KAH0569768.1, KAH0569773.1, KAH0569774.1, KAH0570383.1, KAH0570384.1, KAH0571415.1, KAH0571417.1, KAH0571421.1, KAH0572453.1, KAH0573103.1, KAH0573114.1, KAH0573115.1, KAH0573481.1, KAH0574597.1, KAH0574600.1, KAH0574601.1, KAH0574606.1, KAH0575774.1, KAH0575775.1, KAH0575777.1, KAH0575778.1, KAH0575781.1, KAH0575889.1, KAH0576647.1, KAH0576654.1, KAH0576655.1, KAH0576659.1, KAH0576662.1, KAH0576667.1, KAH0577930.1, KAH0577939.1
OG0000006			KAH0569336.1, KAH0569337.1, KAH0569361.1, KAH0569362.1, KAH0569363.1, KAH0569364.1, KAH0569365.1, KAH0569366.1, KAH0569367.1, KAH0569368.1, KAH0569753.1, KAH0569754.1, KAH0570382.1, KAH0570386.1, KAH0571414.1, KAH0571418.1, KAH0571419.1, KAH0571422.1, KAH0571423.1, KAH0571424.1, KAH0574599.1, KAH0574607.1, KAH0574608.1, KAH0574609.1, KAH0574610.1, KAH0574611.1, KAH0574612.1, KAH0574613.1, KAH0574614.1, KAH0574615.1, KAH0574616.1, KAH0574617.1, KAH0574618.1, KAH0574619.1, KAH0575770.1, KAH0575771.1, KAH0575772.1, KAH0575773.1, KAH0575779.1, KAH0575783.1, KAH0576653.1, KAH0576656.1, KAH0576657.1, KAH0576660.1, KAH0576664.1, KAH0576665.1, KAH0576669.1, KAH0577929.1
OG0000007	KAE8301199.1, KAE8301200.1, KAE8301236.1, KAE8301639.1, KAE8301640.1, KAE8301682.1, KAE8301901.1, KAE8301905.1, KAE8301969.1, KAE8302141.1, KAE8302221.1, KAE8302259.1, KAE8302295.1, KAE8302411.1, KAE8302486.1, KAE8302555.1, KAE8302797.1, KAE8302825.1, KAE8302884.1, KAE8303364.1, KAE8303742.1, KAE8303776.1, KAE8303799.1, KAE8303846.1, KAE8303970.1, KAE8303986.1, KAE8304321.1, KAE8304374.1, KAE8304378.1, KAE8304590.1, KAE8304652.1, KAE8304748.1, KAE8304771.1, KAE8304911.1, KAE8304928.1, KAE8304929.1, KAE8304991.1, KAE8305104.1, KAE8305145.1, KAE8305218.1, KAE8305250.1, KAE8305455.1, KAE8305473.1, KAE8305587.1, KAE8305908.1, KAE8306128.1		
OG0000008	KAE8301207.1, KAE8301284.1, KAE8301306.1, KAE8301459.1, KAE8301460.1, KAE8301798.1, KAE8301847.1, KAE8301851.1, KAE8301981.1, KAE8301982.1, KAE8302464.1, KAE8302465.1, KAE8302717.1, KAE8302857.1, KAE8302858.1, KAE8302883.1, KAE8302959.1, KAE8303206.1, KAE8303243.1, KAE8303244.1, KAE8303365.1, KAE8303502.1, KAE8303589.1, KAE8303590.1, KAE8303879.1, KAE8303880.1, KAE8304084.1, KAE8304195.1, KAE8304612.1, KAE8304640.1, KAE8304883.1, KAE8304979.1, KAE8305144.1, KAE8305191.1, KAE8305192.1, KAE8305263.1, KAE8305305.1, KAE8305306.1, KAE8305454.1, KAE8305472.1, KAE8305600.1, KAE8305601.1, KAE8305734.1, KAE8306023.1, KAE8306077.1, KAE8306113.1		
OG0000009		TNJ26114.1, TNJ26130.1, TNJ26131.1, TNJ26137.1, TNJ26150.1, TNJ26167.1, TNJ26168.1, TNJ26170.1, TNJ26171.1, TNJ26199.1, TNJ26397.1, TNJ26545.1, TNJ26546.1, TNJ26691.1, TNJ26692.1, TNJ26693.1, TNJ26694.1, TNJ27369.1, TNJ27371.1, TNJ27374.1, TNJ27564.1, TNJ27719.1, TNJ27877.1, TNJ28011.1, TNJ28024.1, TNJ28029.1, TNJ28030.1, TNJ28032.1, TNJ28081.1, TNJ29081.1, TNJ29237.1, TNJ29238.1, TNJ29388.1, TNJ29858.1, TNJ30405.1, TNJ30751.1, TNJ30752.1, TNJ30753.1, TNJ30754.1, TNJ30755.1, TNJ30756.1	
