Orthogroup	G_intestinalis_aa	G_muris_aa	S_salmonicida_aa
OG0004524	KAE8301215.1		
OG0004525	KAE8301217.1		
OG0004526	KAE8301223.1		
OG0004527	KAE8301233.1		
OG0004528	KAE8301239.1		
OG0004529	KAE8301255.1		
OG0004530	KAE8301261.1		
OG0004531	KAE8301268.1		
OG0004532	KAE8301279.1		
OG0004533	KAE8301297.1		
OG0004534	KAE8301300.1		
OG0004535	KAE8301325.1		
OG0004536	KAE8301326.1		
OG0004537	KAE8301331.1		
OG0004538	KAE8301335.1		
OG0004539	KAE8301339.1		
OG0004540	KAE8301340.1		
OG0004541	KAE8301350.1		
OG0004542	KAE8301352.1		
OG0004543	KAE8301353.1		
OG0004544	KAE8301363.1		
OG0004545	KAE8301376.1		
OG0004546	KAE8301379.1		
OG0004547	KAE8301381.1		
OG0004548	KAE8301386.1		
OG0004549	KAE8301391.1		
OG0004550	KAE8301394.1		
OG0004551	KAE8301399.1		
OG0004552	KAE8301409.1		
OG0004553	KAE8301414.1		
OG0004554	KAE8301416.1		
OG0004555	KAE8301420.1		
OG0004556	KAE8301427.1		
OG0004557	KAE8301437.1		
OG0004558	KAE8301448.1		
OG0004559	KAE8301449.1		
OG0004560	KAE8301451.1		
OG0004561	KAE8301458.1		
OG0004562	KAE8301465.1		
OG0004563	KAE8301472.1		
OG0004564	KAE8301477.1		
OG0004565	KAE8301481.1		
OG0004566	KAE8301486.1		
OG0004567	KAE8301493.1		
OG0004568	KAE8301497.1		
OG0004569	KAE8301499.1		
OG0004570	KAE8301509.1		
OG0004571	KAE8301513.1		
OG0004572	KAE8301522.1		
OG0004573	KAE8301528.1		
OG0004574	KAE8301531.1		
OG0004575	KAE8301534.1		
OG0004576	KAE8301537.1		
OG0004577	KAE8301555.1		
OG0004578	KAE8301556.1		
OG0004579	KAE8301557.1		
OG0004580	KAE8301558.1		
OG0004581	KAE8301560.1		
OG0004582	KAE8301564.1		
OG0004583	KAE8301577.1		
OG0004584	KAE8301586.1		
OG0004585	KAE8301587.1		
OG0004586	KAE8301588.1		
OG0004587	KAE8301591.1		
OG0004588	KAE8301597.1		
OG0004589	KAE8301611.1		
OG0004590	KAE8301621.1		
OG0004591	KAE8301623.1		
OG0004592	KAE8301650.1		
OG0004593	KAE8301653.1		
OG0004594	KAE8301654.1		
OG0004595	KAE8301658.1		
OG0004596	KAE8301659.1		
OG0004597	KAE8301661.1		
OG0004598	KAE8301663.1		
OG0004599	KAE8301664.1		
OG0004600	KAE8301665.1		
OG0004601	KAE8301671.1		
OG0004602	KAE8301676.1		
OG0004603	KAE8301685.1		
OG0004604	KAE8301688.1		
OG0004605	KAE8301716.1		
OG0004606	KAE8301717.1		
OG0004607	KAE8301718.1		
OG0004608	KAE8301719.1		
OG0004609	KAE8301725.1		
OG0004610	KAE8301728.1		
OG0004611	KAE8301741.1		
OG0004612	KAE8301752.1		
OG0004613	KAE8301754.1		
OG0004614	KAE8301758.1		
OG0004615	KAE8301771.1		
OG0004616	KAE8301784.1		
OG0004617	KAE8301793.1		
OG0004618	KAE8301795.1		
OG0004619	KAE8301805.1		
